PacketType,SequenceNumber,listener,SrcNodeId,PacketSize,ChannelFreqMhz,MpduRefNumber,StaId
ARP,20480,1,2,64,2412,32767,65535
ADOV,0,15,1,14,2412,32767,65535
UDP,8192,15,16,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
ARP,4096,6,7,64,2412,32767,65535
ARP,4096,38,39,64,2412,32767,65535
ARP,24576,1,2,64,2412,32767,65535
ADOV,0,25,1,14,2412,32767,65535
UDP,8192,14,15,100,2412,32767,65535
UDP,4096,31,32,84,2412,32767,65535
UDP,4096,24,25,84,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,12288,25,26,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
ARP,4096,34,35,64,2412,32767,65535
UDP,12288,15,16,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,16384,15,16,84,2412,32767,65535
UDP,20480,15,16,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
ARP,28672,1,2,64,2412,32767,65535
ADOV,0,30,1,14,2412,32767,65535
UDP,8192,30,31,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,16384,25,26,100,2412,32767,65535
UDP,4096,8,9,84,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,12288,14,15,100,2412,32767,65535
UDP,8192,29,30,84,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,20480,25,26,100,2412,32767,65535
UDP,4096,11,12,84,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,24576,25,26,100,2412,32767,65535
UDP,8192,6,7,84,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,24576,15,16,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,28672,25,26,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,8192,38,39,84,2412,32767,65535
ARP,32768,1,2,64,2412,32767,65535
UDP,4096,13,14,84,2412,32767,65535
UDP,16384,14,15,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,4096,49,50,84,2412,32767,65535
UDP,28672,15,16,100,2412,32767,65535
UDP,12288,30,31,100,2412,32767,65535
UDP,8192,34,35,84,2412,32767,65535
UDP,28672,15,16,100,2412,32767,65535
UDP,8192,23,24,84,2412,32767,65535
UDP,32768,25,26,100,2412,32767,65535
ARP,32768,1,2,64,2412,32767,65535
UDP,20480,14,15,100,2412,32767,65535
UDP,12288,30,31,100,2412,32767,65535
UDP,8192,40,41,84,2412,32767,65535
UDP,32768,25,26,100,2412,32767,65535
UDP,20480,14,15,100,2412,32767,65535
UDP,28672,15,16,100,2412,32767,65535
ARP,32768,1,2,64,2412,32767,65535
UDP,32768,25,26,100,2412,32767,65535
UDP,12288,30,31,100,2412,32767,65535
UDP,20480,14,15,100,2412,32767,65535
UDP,28672,15,16,100,2412,32767,65535
ARP,32768,1,2,64,2412,32767,65535
UDP,4096,41,42,84,2412,32767,65535
UDP,32768,25,26,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,4096,35,36,84,2412,32767,65535
UDP,36864,25,26,84,2412,32767,65535
UDP,20480,14,15,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,40960,25,26,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,24576,14,15,100,2412,32767,65535
UDP,4096,7,8,84,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,12288,30,31,100,2412,32767,65535
UDP,45056,25,26,100,2412,32767,65535
UDP,28672,14,15,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,45056,25,26,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,4096,47,48,84,2412,32767,65535
UDP,4096,32,33,84,2412,32767,65535
UDP,32768,14,15,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,49152,25,26,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,4096,3,4,84,2412,32767,65535
UDP,36864,14,15,100,2412,32767,65535
UDP,4096,12,13,84,2412,32767,65535
UDP,4096,27,28,84,2412,32767,65535
UDP,36864,14,15,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,12288,30,31,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,40960,14,15,100,2412,32767,65535
UDP,53248,25,26,100,2412,32767,65535
UDP,28672,15,16,100,2412,32767,65535
UDP,16384,30,31,100,2412,32767,65535
UDP,4096,48,49,84,2412,32767,65535
UDP,4096,4,5,84,2412,32767,65535
UDP,4096,36,37,84,2412,32767,65535
UDP,4096,26,27,84,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,53248,25,26,100,2412,32767,65535
UDP,4096,44,45,84,2412,32767,65535
UDP,16384,30,31,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,40960,14,15,100,2412,32767,65535
UDP,8192,33,34,84,2412,32767,65535
ARP,32768,1,2,64,2412,32767,65535
ADOV,0,6,1,14,2412,32767,65535
UDP,12288,6,7,100,2412,32767,65535
ARP,36864,1,2,64,2412,32767,65535
UDP,16384,30,31,100,2412,32767,65535
UDP,40960,14,15,100,2412,32767,65535
UDP,4096,50,51,84,2412,32767,65535
UDP,4096,18,19,84,2412,32767,65535
UDP,12288,6,7,100,2412,32767,65535
ARP,36864,1,2,64,2412,32767,65535
ADOV,0,34,1,14,2412,32767,65535
UDP,12288,34,35,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,57344,25,26,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,16384,34,35,100,2412,32767,65535
UDP,4096,39,40,84,2412,32767,65535
UDP,4096,28,29,84,2412,32767,65535
UDP,4096,46,47,84,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,4096,10,11,84,2412,32767,65535
UDP,8192,9,10,84,2412,32767,65535
UDP,4096,16,17,84,2412,32767,65535
UDP,20480,34,35,100,2412,32767,65535
UDP,4096,20,21,84,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,40960,14,15,100,2412,32767,65535
UDP,12288,6,7,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,24576,34,35,100,2412,32767,65535
UDP,4096,21,22,84,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,45056,14,15,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,49152,14,15,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,61440,25,26,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,4096,2,3,84,2412,32767,65535
UDP,16384,30,31,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,20480,30,31,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,28672,34,35,100,2412,32767,65535
UDP,12288,6,7,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,1,25,26,100,2412,32767,65535
UDP,4096,22,23,84,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,53248,14,15,84,2412,32767,65535
UDP,24576,30,31,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,28672,30,31,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,57344,14,15,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,4097,25,26,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,32768,30,31,100,2412,32767,65535
UDP,12288,6,7,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,32768,34,35,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,61440,14,15,100,2412,32767,65535
UDP,36864,30,31,100,2412,32767,65535
UDP,61440,14,15,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,8193,25,26,100,2412,32767,65535
UDP,36864,34,35,100,2412,32767,65535
UDP,1,14,15,100,2412,32767,65535
UDP,36864,34,35,100,2412,32767,65535
UDP,36864,30,31,100,2412,32767,65535
UDP,1,14,15,100,2412,32767,65535
UDP,8193,25,26,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,36864,34,35,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,36864,30,31,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,40960,30,31,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,45056,30,31,84,2412,32767,65535
UDP,40960,34,35,100,2412,32767,65535
UDP,12288,6,7,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,49152,30,31,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,53248,30,31,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,1,14,15,100,2412,32767,65535
UDP,12288,6,7,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,57344,30,31,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,61440,30,31,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,8193,25,26,100,2412,32767,65535
UDP,4097,14,15,100,2412,32767,65535
UDP,1,30,31,100,2412,32767,65535
UDP,45056,34,35,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,1,30,31,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,4097,30,31,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,45056,34,35,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,4097,14,15,100,2412,32767,65535
UDP,12288,6,7,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,8193,30,31,100,2412,32767,65535
UDP,16384,6,7,100,2412,32767,65535
UDP,8193,30,31,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,16384,6,7,100,2412,32767,65535
UDP,49152,34,35,100,2412,32767,65535
UDP,8193,14,15,100,2412,32767,65535
UDP,16384,6,7,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,49152,34,35,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,12289,14,15,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,53248,34,35,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,16385,14,15,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,16384,6,7,100,2412,32767,65535
UDP,8193,30,31,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,8193,25,26,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,57344,34,35,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,12289,25,26,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,20481,14,15,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,16385,25,26,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,20481,25,26,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,61440,34,35,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,24577,14,15,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,24577,25,26,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,28672,15,16,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,32768,15,16,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,28673,25,26,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,1,34,35,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,32769,25,26,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,36865,25,26,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,36864,15,16,100,2412,32767,65535
UDP,28673,14,15,100,2412,32767,65535
UDP,16384,6,7,100,2412,32767,65535
UDP,36864,15,16,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,4097,34,35,100,2412,32767,65535
UDP,40961,25,26,100,2412,32767,65535
UDP,28673,14,15,100,2412,32767,65535
UDP,4097,34,35,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,40960,15,16,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,8193,30,31,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,40961,25,26,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,45056,15,16,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,12289,30,31,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,8193,34,35,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,49152,15,16,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,16385,30,31,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,45057,25,26,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,12289,34,35,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,49153,25,26,100,2412,32767,65535
UDP,20481,30,31,100,2412,32767,65535
UDP,28673,14,15,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,20481,30,31,100,2412,32767,65535
UDP,53248,15,16,100,2412,32767,65535
UDP,16384,6,7,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,20481,30,31,100,2412,32767,65535
UDP,20480,6,7,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,24577,30,31,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,20480,6,7,100,2412,32767,65535
UDP,16385,34,35,100,2412,32767,65535
UDP,53249,25,26,100,2412,32767,65535
UDP,20480,6,7,100,2412,32767,65535
UDP,53248,15,16,100,2412,32767,65535
UDP,28673,30,31,100,2412,32767,65535
UDP,28673,14,15,100,2412,32767,65535
UDP,16385,34,35,100,2412,32767,65535
UDP,53249,25,26,100,2412,32767,65535
UDP,28673,30,31,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,53249,25,26,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,53248,15,16,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,57345,25,26,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,57344,15,16,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,20480,6,7,100,2412,32767,65535
UDP,16385,34,35,100,2412,32767,65535
UDP,61440,15,16,100,2412,32767,65535
UDP,28673,30,31,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,32769,30,31,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,61441,25,26,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,36865,30,31,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,20480,6,7,100,2412,32767,65535
UDP,40961,30,31,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,61440,15,16,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,1,15,16,100,2412,32767,65535
UDP,8192,50,51,88,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,8192,2,3,88,2412,32767,65535
UDP,8192,46,47,88,2412,32767,65535
UDP,4097,15,16,100,2412,32767,65535
UDP,16385,34,35,100,2412,32767,65535
UDP,8192,22,23,88,2412,32767,65535
UDP,40961,30,31,100,2412,32767,65535
UDP,8192,19,20,88,2412,32767,65535
UDP,8192,21,22,88,2412,32767,65535
UDP,8192,5,6,88,2412,32767,65535
UDP,8192,8,9,88,2412,32767,65535
UDP,8192,17,18,88,2412,32767,65535
UDP,8192,28,29,88,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,4097,15,16,100,2412,32767,65535
UDP,8192,16,17,88,2412,32767,65535
UDP,8192,44,45,88,2412,32767,65535
UDP,8192,4,5,88,2412,32767,65535
UDP,8192,11,12,88,2412,32767,65535
UDP,8192,13,14,88,2412,32767,65535
UDP,8192,20,21,88,2412,32767,65535
UDP,40961,30,31,100,2412,32767,65535
UDP,2,25,26,100,2412,32767,65535
UDP,8192,18,19,88,2412,32767,65535
UDP,16385,34,35,100,2412,32767,65535
UDP,8192,31,32,88,2412,32767,65535
ARP,12288,9,10,64,2412,32767,65535
UDP,12288,46,47,88,2412,32767,65535
UDP,8192,37,38,88,2412,32767,65535
UDP,8192,42,43,88,2412,32767,65535
UDP,8192,48,49,88,2412,32767,65535
UDP,12288,50,51,88,2412,32767,65535
UDP,12288,19,20,88,2412,32767,65535
UDP,8192,27,28,88,2412,32767,65535
UDP,8192,7,8,88,2412,32767,65535
UDP,8192,10,11,88,2412,32767,65535
UDP,8192,12,13,88,2412,32767,65535
UDP,12288,21,22,88,2412,32767,65535
UDP,8192,32,33,88,2412,32767,65535
UDP,12288,11,12,88,2412,32767,65535
UDP,2,25,26,100,2412,32767,65535
UDP,16385,34,35,100,2412,32767,65535
UDP,12288,18,19,88,2412,32767,65535
UDP,4097,15,16,100,2412,32767,65535
UDP,8192,47,48,88,2412,32767,65535
UDP,12288,22,23,88,2412,32767,65535
UDP,12288,20,21,88,2412,32767,65535
UDP,8192,35,36,88,2412,32767,65535
UDP,28673,14,15,100,2412,32767,65535
UDP,16384,18,19,88,2412,32767,65535
UDP,16384,22,23,88,2412,32767,65535
UDP,8192,39,40,88,2412,32767,65535
UDP,4097,15,16,100,2412,32767,65535
UDP,2,25,26,100,2412,32767,65535
UDP,12288,42,43,88,2412,32767,65535
UDP,12288,17,18,88,2412,32767,65535
UDP,8192,36,37,88,2412,32767,65535
UDP,40961,30,31,100,2412,32767,65535
UDP,16384,21,22,88,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,12288,44,45,88,2412,32767,65535
UDP,8192,26,27,88,2412,32767,65535
UDP,12288,37,38,88,2412,32767,65535
UDP,8192,45,46,88,2412,32767,65535
UDP,8192,3,4,88,2412,32767,65535
UDP,8192,49,50,88,2412,32767,65535
UDP,12288,16,17,88,2412,32767,65535
UDP,12288,47,48,88,2412,32767,65535
UDP,12288,7,8,88,2412,32767,65535
UDP,12288,27,28,88,2412,32767,65535
UDP,4098,25,26,100,2412,32767,65535
UDP,8192,43,44,88,2412,32767,65535
UDP,8192,24,25,88,2412,32767,65535
UDP,12288,39,40,88,2412,32767,65535
UDP,8192,41,42,88,2412,32767,65535
UDP,16384,44,45,88,2412,32767,65535
UDP,12288,26,27,88,2412,32767,65535
UDP,12288,45,46,88,2412,32767,65535
UDP,16384,11,12,88,2412,32767,65535
UDP,16384,42,43,88,2412,32767,65535
UDP,20480,21,22,88,2412,32767,65535
UDP,16384,16,17,88,2412,32767,65535
UDP,28673,14,15,100,2412,32767,65535
UDP,16384,47,48,88,2412,32767,65535
UDP,12288,28,29,88,2412,32767,65535
UDP,12288,24,25,88,2412,32767,65535
UDP,20480,42,43,88,2412,32767,65535
UDP,12288,43,44,88,2412,32767,65535
UDP,12288,41,42,88,2412,32767,65535
UDP,16384,45,46,88,2412,32767,65535
UDP,16384,7,8,88,2412,32767,65535
UDP,4098,25,26,100,2412,32767,65535
UDP,12288,2,3,88,2412,32767,65535
UDP,16384,39,40,88,2412,32767,65535
UDP,20480,47,48,88,2412,32767,65535
UDP,16384,19,20,88,2412,32767,65535
UDP,12288,10,11,88,2412,32767,65535
UDP,16384,43,44,88,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,16384,37,38,88,2412,32767,65535
UDP,12288,8,9,88,2412,32767,65535
UDP,16384,2,3,88,2412,32767,65535
UDP,16384,24,25,88,2412,32767,65535
UDP,20480,43,44,88,2412,32767,65535
UDP,12288,13,14,88,2412,32767,65535
UDP,16384,27,28,88,2412,32767,65535
UDP,12288,12,13,88,2412,32767,65535
UDP,12288,31,32,88,2412,32767,65535
UDP,20480,44,45,88,2412,32767,65535
UDP,12288,35,36,88,2412,32767,65535
UDP,20480,16,17,88,2412,32767,65535
UDP,12288,5,6,88,2412,32767,65535
UDP,16384,31,32,88,2412,32767,65535
ARP,12288,38,39,64,2412,32767,65535
UDP,16385,34,35,100,2412,32767,65535
UDP,24576,43,44,88,2412,32767,65535
UDP,16384,50,51,88,2412,32767,65535
UDP,20480,7,8,88,2412,32767,65535
UDP,4097,15,16,100,2412,32767,65535
UDP,20480,22,23,88,2412,32767,65535
UDP,20480,24,25,88,2412,32767,65535
UDP,16384,10,11,88,2412,32767,65535
UDP,16384,46,47,88,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,12288,48,49,88,2412,32767,65535
ARP,12288,29,30,64,2412,32767,65535
UDP,20480,46,47,88,2412,32767,65535
UDP,20480,45,46,88,2412,32767,65535
UDP,16384,5,6,88,2412,32767,65535
ARP,12288,49,50,64,2412,32767,65535
UDP,8194,25,26,100,2412,32767,65535
UDP,24576,7,8,88,2412,32767,65535
ADOV,0,29,1,14,2412,32767,65535
UDP,12288,4,5,88,2412,32767,65535
UDP,16384,13,14,88,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,16384,35,36,88,2412,32767,65535
UDP,16384,17,18,88,2412,32767,65535
UDP,16384,29,30,84,2412,32767,65535
UDP,20480,5,6,88,2412,32767,65535
UDP,20480,31,32,88,2412,32767,65535
UDP,20480,6,7,100,2412,32767,65535
ADOV,0,49,1,14,2412,32767,65535
UDP,16385,34,35,100,2412,32767,65535
UDP,16384,20,21,88,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,40961,30,31,100,2412,32767,65535
UDP,20480,18,19,88,2412,32767,65535
UDP,20480,37,38,88,2412,32767,65535
UDP,24576,21,22,88,2412,32767,65535
UDP,20480,50,51,88,2412,32767,65535
UDP,28673,14,15,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,20481,34,35,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,20480,2,3,88,2412,32767,65535
UDP,32769,14,15,100,2412,32767,65535
UDP,16384,8,9,88,2412,32767,65535
UDP,16384,26,27,88,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,12290,25,26,100,2412,32767,65535
UDP,40961,30,31,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
ARP,16384,49,50,64,2412,32767,65535
UDP,32769,14,15,100,2412,32767,65535
UDP,24577,34,35,100,2412,32767,65535
ARP,20480,29,30,64,2412,32767,65535
UDP,16384,28,29,88,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
ADOV,0,49,1,14,2412,32767,65535
UDP,28673,34,35,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,20480,49,50,66,2412,32767,65535
ADOV,0,29,1,14,2412,32767,65535
UDP,32769,14,15,100,2412,32767,65535
UDP,24576,49,50,100,2412,32767,65535
ARP,24576,29,30,64,2412,32767,65535
ARP,20480,26,27,64,2412,32767,65535
ADOV,0,29,1,14,2412,32767,65535
UDP,28672,29,30,84,2412,32767,65535
ADOV,0,26,1,14,2412,32767,65535
UDP,24576,49,50,100,2412,32767,65535
UDP,32769,14,15,100,2412,32767,65535
ADOV,0,29,1,14,2412,32767,65535
UDP,32769,34,35,100,2412,32767,65535
UDP,16386,25,26,100,2412,32767,65535
ARP,24576,26,27,64,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
ARP,20480,17,18,64,2412,32767,65535
UDP,32769,34,35,100,2412,32767,65535
UDP,20480,6,7,100,2412,32767,65535
UDP,28672,49,50,100,2412,32767,65535
ADOV,0,26,1,14,2412,32767,65535
UDP,16386,25,26,100,2412,32767,65535
UDP,28672,26,27,84,2412,32767,65535
ADOV,0,29,1,14,2412,32767,65535
UDP,4097,15,16,100,2412,32767,65535
ARP,20480,17,18,64,2412,32767,65535
ARP,32768,49,50,64,2412,32767,65535
UDP,36864,49,50,100,2412,32767,65535
ADOV,0,29,1,14,2412,32767,65535
UDP,28672,26,27,84,2412,32767,65535
ADOV,0,17,1,14,2412,32767,65535
UDP,32769,34,35,100,2412,32767,65535
ADOV,0,1,1,14,2412,32767,65535
UDP,32769,14,15,100,2412,32767,65535
